Year,District,State,Total,20&Over,19,17-18,15-16,13-14,11-12,9-10,7-8,6&U
1998,,ID,258,,,,,,,,,
1998,,IL,1186,,,,,,,,,
1998,,IN,230,,,,,,,,,
1998,,KS,61,,,,,,,,,
1998,,KY,25,,,,,,,,,
1998,,LA,52,,,,,,,,,
1998,,MA,4540,,,,,,,,,
1998,,MD,261,,,,,,,,,
1998,,ME,646,,,,,,,,,
1998,,MI,3117,,,,,,,,,
1998,,MN,6517,,,,,,,,,
1998,,MO,124,,,,,,,,,
1998,,MS,12,,,,,,,,,
1998,,MT,238,,,,,,,,,
1998,,NC,122,,,,,,,,,
1998,,ND,448,,,,,,,,,
1998,,NE,68,,,,,,,,,
1998,,NH,775,,,,,,,,,
1998,,NJ,727,,,,,,,,,
1998,,NM,121,,,,,,,,,
1998,,NV,20,,,,,,,,,
1998,,NY,3197,,,,,,,,,
1998,,OH,583,,,,,,,,,
1998,,OK,34,,,,,,,,,
1998,,OR,116,,,,,,,,,
1998,,PA,836,,,,,,,,,
1998,,RI,434,,,,,,,,,
1998,,SC,26,,,,,,,,,
1998,,SD,135,,,,,,,,,
1998,,TN,38,,,,,,,,,
1998,,TX,250,,,,,,,,,
1998,,UT,157,,,,,,,,,
1998,,VA,192,,,,,,,,,
1998,,VT,893,,,,,,,,,
1998,,WA,408,,,,,,,,,
1998,,WI,2073,,,,,,,,,
1998,,WV,85,,,,,,,,,
1998,,WY,187,,,,,,,,,
1999,,AK,995,,,,,,,,,
1999,,AL,30,,,,,,,,,
1999,,AR,10,,,,,,,,,
1999,,AZ,277,,,,,,,,,
1999,,CA,1093,,,,,,,,,
1999,,CO,981,,,,,,,,,
1999,,CT,1290,,,,,,,,,
1999,,DC,47,,,,,,,,,
1999,,DE,45,,,,,,,,,
1999,,FL,254,,,,,,,,,
1999,,GA,59,,,,,,,,,
1999,,HI,12,,,,,,,,,
1999,,IA,146,,,,,,,,,
1999,,ID,302,,,,,,,,,
1999,,IL,1308,,,,,,,,,
1999,,IN,235,,,,,,,,,
1999,,KS,85,,,,,,,,,
1999,,KY,28,,,,,,,,,
1999,,LA,59,,,,,,,,,
1999,,MA,4770,,,,,,,,,
1999,,MD,361,,,,,,,,,
1999,,ME,656,,,,,,,,,
1999,,MI,3463,,,,,,,,,
1999,,MN,6951,,,,,,,,,
1999,,MO,188,,,,,,,,,
1999,,MS,14,,,,,,,,,
1999,,MT,286,,,,,,,,,
1999,,NC,181,,,,,,,,,
1999,,ND,552,,,,,,,,,
1999,,NE,66,,,,,,,,,
1999,,NH,940,,,,,,,,,
1999,,NJ,783,,,,,,,,,
1999,,NM,97,,,,,,,,,
1999,,NV,44,,,,,,,,,
1999,,NY,3376,,,,,,,,,
1999,,OH,557,,,,,,,,,
1999,,OK,40,,,,,,,,,
1999,,OR,117,,,,,,,,,
1999,,PA,927,,,,,,,,,
1999,,RI,504,,,,,,,,,
1999,,SC,28,,,,,,,,,
1999,,SD,197,,,,,,,,,
1999,,TN,27,,,,,,,,,
1999,,TX,311,,,,,,,,,
1999,,UT,177,,,,,,,,,
1999,,VA,280,,,,,,,,,
1999,,VT,867,,,,,,,,,
1999,,WA,490,,,,,,,,,
1999,,WI,2255,,,,,,,,,
1999,,WV,76,,,,,,,,,
1999,,WY,191,,,,,,,,,
2000,,AK,1086,,,,,,,,,
2000,,AL,30,,,,,,,,,
2000,,AR,11,,,,,,,,,
2000,,AZ,383,,,,,,,,,
2000,,CA,1044,,,,,,,,,
2000,,CO,1070,,,,,,,,,
2000,,CT,1355,,,,,,,,,
2000,,DC,69,,,,,,,,,
2000,,DE,49,,,,,,,,,
2000,,FL,260,,,,,,,,,
2000,,GA,70,,,,,,,,,
2000,,HI,14,,,,,,,,,
2000,,IA,141,,,,,,,,,
2000,,ID,323,,,,,,,,,
2000,,IL,1326,,,,,,,,,
2000,,IN,212,,,,,,,,,
2000,,KS,67,,,,,,,,,
