Year,District,State,Total,20&Over,19,17-18,15-16,13-14,11-12,9-10,7-8,6&U
2010,Southeastern,AL,12,4,0,-2,-5,3,4,0,5,3
2010,Southeastern,MD,29,27,-1,-24,-24,5,0,11,18,17
2010,Southeastern,DC,13,11,1,-2,-2,-1,0,2,2,2
2011,Atlantic,DE,20,17,0,1,3,-4,2,-1,2,0
2011,Atlantic,E PA,78,16,3,-11,-12,37,42,-7,12,-2
2011,Atlantic,NJ,87,-9,5,12,17,9,39,12,14,-12
2011,Central,IL,27,5,-8,2,0,13,-1,20,-3,-1
2011,Central,IA,36,4,0,6,-1,7,0,13,-2,9
2011,Central,KS,15,3,0,0,1,1,1,3,1,5
2011,Central,MO,57,-9,-2,-8,16,12,15,16,6,11
2011,Central,NE,1,0,0,0,-5,9,-6,2,3,-2
2011,Central,WI,24,-3,-11,23,-43,-32,24,-2,1,67
2011,Massachusetts,MA,462,-59,-4,53,-46,102,86,98,114,118
2011,Michigan,MI,-263,-43,-2,-45,-29,-38,27,-73,-2,-58
2011,Mid-American,WV,-24,-6,1,-3,-5,-6,7,-4,-6,-2
2011,Mid-American,W PA,107,22,-3,22,-13,16,29,28,14,-8
2011,Mid-American,IN,10,14,6,-7,-13,14,-2,6,4,-12
2011,Mid-American,KY,-17,-4,4,-4,-10,-5,1,1,-4,4
2011,Mid-American,OH,-36,-30,-3,-1,-8,-4,-1,-2,15,-2
2011,Minnesota,MN,124,28,0,14,23,51,-4,-38,53,-3
2011,New England,CT,149,35,7,2,8,-8,16,1,35,53
2011,New England,ME,-79,-46,-9,-10,-26,4,6,1,-4,5
2011,New England,NH,4,0,1,-28,2,-5,23,3,3,5
2011,New England,RI,-31,-9,4,-18,-34,26,-21,6,24,-9
2011,New England,VT,-112,-21,5,8,-5,-3,-26,-19,-2,-49
2011,New York,NY,-57,-80,12,-37,-38,15,-14,55,30,0
2011,Northern Plains,SD,28,0,3,-2,-5,11,5,2,-5,19
2011,Northern Plains,WY,21,-4,2,-5,13,4,-13,10,2,12
2011,Northern Plains,MT,87,45,8,-6,-2,0,20,-4,25,1
2011,Northern Plains,ND,70,0,-3,1,-18,17,1,23,21,28
2011,Pacific,WA,-38,-55,-2,8,-12,4,13,4,4,-2
2011,Pacific,OR,-2,1,-1,1,-1,-1,-1,0,-3,3
2011,Pacific,HI,0,0,0,0,0,0,0,0,0,0
2011,Pacific,CA,15,-42,3,-12,10,5,20,12,27,-8
2011,Pacific,AK,-11,-6,8,3,9,-6,10,-3,-6,-20
2011,Pacific,NV,-21,-7,-2,3,-6,-3,-5,3,0,-4
2011,Rocky Mountain,TX,-9,-4,2,-9,1,-10,15,-2,-1,-1
2011,Rocky Mountain,OK,-2,-5,-2,-2,-1,-1,3,2,3,1
2011,Rocky Mountain,UT,49,18,-1,-1,4,14,0,-2,15,2
2011,Rocky Mountain,ID,7,9,-10,0,-5,1,-4,3,4,9
2011,Rocky Mountain,CO,110,34,6,16,-17,2,2,29,17,21
2011,Rocky Mountain,AZ,54,23,-3,7,11,-5,7,7,-4,11
2011,Rocky Mountain,NM,-13,4,-3,-2,-2,2,-7,5,-8,-2
2011,Southeastern,VA,25,1,1,10,-10,12,1,15,4,-9
2011,Southeastern,TN,-6,3,-1,-3,-9,2,4,0,3,-5
2011,Southeastern,SC,-21,-8,-1,0,-4,-4,-7,5,-4,2
2011,Southeastern,NC,64,28,4,6,-12,17,10,8,-1,4
2011,Southeastern,MS,8,0,0,1,-1,1,0,4,3,0
2011,Southeastern,LA,2,3,0,-2,1,1,0,-1,-1,1
2011,Southeastern,GA,10,15,-2,5,-5,-2,3,1,-4,-1
2011,Southeastern,FL,19,-6,-2,-3,-5,-3,11,13,6,8
2011,Southeastern,AR,-6,-1,0,-1,0,-2,2,-2,1,-3
2011,Southeastern,AL,6,-1,1,0,4,3,-2,-3,8,-4
2011,Southeastern,MD,42,8,5,2,-21,-4,31,7,-2,16
2011,Southeastern,DC,13,7,-6,0,0,3,8,0,3,-2
2012,Atlantic,DE,-9,-13,2,-6,0,5,1,-1,2,1
2012,Atlantic,E PA,-78,-11,-12,-2,-9,-30,11,-10,-8,-7
2012,Atlantic,NJ,15,27,-14,-12,-3,25,16,-18,1,-7
2012,Central,IL,50,45,7,-3,-6,23,-18,23,-7,-14
2012,Central,IA,10,5,10,-3,-8,5,3,5,0,-7
2012,Central,KS,-25,-5,2,0,-1,-1,-6,-5,-3,-6
2012,Central,MO,-14,0,-1,8,-12,-24,-6,10,2,9
2012,Central,NE,2,-8,1,4,0,5,0,3,2,-5
2012,Central,WI,-164,-5,-6,-3,-14,-7,3,-12,-42,-78
2012,Massachusetts,MA,-102,9,-16,-4,93,-5,103,-23,-69,-190
2012,Michigan,MI,28,12,-6,4,19,21,-20,-16,14,0
2012,Mid-American,WV,26,6,-1,5,8,-1,2,5,3,-1
2012,Mid-American,W PA,-116,-22,4,-6,-21,4,-8,-20,-3,-44
2012,Mid-American,IN,38,11,3,6,5,-6,8,7,2,2
2012,Mid-American,KY,13,16,-7,6,0,2,-5,-4,4,1
2012,Mid-American,OH,-21,-24,4,-2,-19,13,10,8,-6,-5
2012,Minnesota,MN,-339,103,14,-19,-26,13,-138,-67,-98,-121
2012,New England,CT,-103,-44,-15,-5,-15,17,3,19,-25,-38
2012,New England,ME,-33,-17,6,5,-20,-3,1,10,0,-15
2012,New England,NH,-105,-78,-1,21,25,-18,-33,-21,14,-14
2012,New England,RI,-88,-12,-5,14,16,-16,0,-22,-18,-45
2012,New England,VT,76,98,-2,-18,-15,-14,11,27,0,-11
2012,New York,NY,-68,5,-3,5,-12,58,4,-3,-86,-36
2012,Northern Plains,SD,1,9,-4,8,-8,-10,3,-1,0,4
2012,Northern Plains,WY,20,36,-3,5,-3,-6,3,0,-12,0
2012,Northern Plains,MT,-16,12,-11,4,5,-8,10,-20,-8,0
2012,Northern Plains,ND,5,-8,-4,-2,-17,12,24,-4,12,-8
2012,Pacific,WA,34,43,5,-4,-2,-16,9,1,-11,9
2012,Pacific,OR,48,32,0,0,1,2,-1,5,7,2
2012,Pacific,HI,0,0,0,0,0,0,0,0,0,0
2012,Pacific,CA,90,102,-5,-4,5,20,-15,-1,-17,5
2012,Pacific,AK,-96,-36,3,4,-27,-3,-5,-27,-15,10
2012,Pacific,NV,2,9,0,-4,3,-3,-1,3,-6,1
2012,Rocky Mountain,TX,27,30,-1,-6,15,-5,-17,8,0,3
2012,Rocky Mountain,OK,3,3,1,2,0,6,-7,5,-4,-3
2012,Rocky Mountain,UT,-5,-10,0,-5,9,5,-4,17,-11,-6
2012,Rocky Mountain,ID,2,13,4,-1,5,2,-14,3,3,-13
2012,Rocky Mountain,CO,-71,-51,17,-21,12,-19,8,-4,-17,4
2012,Rocky Mountain,AZ,-13,-1,2,4,-6,1,-3,1,-3,-8
2012,Rocky Mountain,NM,-1,1,-1,3,-5,6,2,-4,-3,0
2012,Southeastern,VA,19,5,7,-20,18,5,-1,11,-17,11
2012,Southeastern,TN,11,20,-1,-1,8,2,-3,-4,1,-11
2012,Southeastern,SC,8,4,0,2,4,-2,2,1,-5,2
2012,Southeastern,NC,-34,-29,-5,-1,6,-1,-2,-4,3,-1
2012,Southeastern,MS,-7,-2,1,-2,1,1,0,-6,-1,1
2012,Southeastern,LA,6,9,-1,0,1,-2,1,1,1,-4
2012,Southeastern,GA,-24,-15,1,-4,-5,5,2,-3,-5,0
