Year,District,Total,20&Over,19,17-18,15-16,13-14,11-12,9-10,7-8,6&U
2020,Atlantic,3112,406,30,237,408,463,467,474,402,225
2020,Central,7947,796,50,433,692,998,1211,1331,1224,1212
2020,Massachusetts,9624,863,48,653,1167,1416,1542,1468,1240,1227
2020,Michigan,4127,1072,59,230,333,397,484,551,459,542
2020,Mid-American,3110,479,32,151,271,399,457,513,410,398
2020,Minnesota,14238,1258,22,561,1160,1810,2253,2401,2384,2389
2020,New England,5636,304,24,361,637,838,934,908,778,852
2020,New York,5316,429,58,351,523,632,736,777,815,995
2020,Northern Plains,3479,498,51,176,274,407,446,519,510,598
2020,Pacific,4266,1145,27,216,368,517,559,554,453,427
2020,Rocky Mountain,5010,1450,46,284,429,581,584,622,531,483
2020,Southeastern,4533,1224,50,265,420,552,607,598,461,356
