Year,State,Total
1994,NC,106.25
1994,ND,70.78651685393258
1994,NE,0.0
1994,NH,29.39297124600639
1994,NJ,35.8433734939759
1994,NM,8.0
1994,NV,-10.344827586206897
1994,NY,23.81235154394299
1994,OH,40.87837837837838
1994,OK,88.88888888888889
1994,OR,17.741935483870968
1994,PA,71.7687074829932
1994,RI,37.264150943396224
1994,SC,200.0
1994,SD,100.0
1994,TN,40.909090909090914
1994,TX,71.05263157894737
1994,UT,31.70731707317073
1994,VA,66.0377358490566
1994,VT,32.38095238095238
1994,WA,30.76923076923077
1994,WI,41.43258426966292
1994,WV,-11.38211382113821
1994,WY,75.92592592592592
1995,AK,13.659359190556492
1995,AL,0.0
1995,AR,33.33333333333333
1995,AZ,-23.140495867768596
1995,CA,17.261055634807416
1995,CO,16.507936507936506
1995,CT,6.524822695035461
1995,DC,-28.57142857142857
1995,DE,9.090909090909092
1995,FL,25.252525252525253
1995,GA,27.27272727272727
1995,HI,inf
1995,IA,-15.584415584415584
1995,ID,9.876543209876543
1995,IL,17.258883248730964
1995,IN,36.75213675213676
1995,KS,14.814814814814813
1995,KY,21.052631578947366
1995,LA,-50.0
1995,MA,19.123653917564056
1995,MD,2.247191011235955
1995,ME,-32.6625386996904
1995,MI,22.353603603603602
1995,MN,48.74149659863946
1995,MO,-9.482758620689655
1995,MS,
1995,MT,25.0
1995,NC,59.09090909090909
1995,ND,65.13157894736842
1995,NE,14.285714285714285
1995,NH,12.345679012345679
1995,NJ,9.75609756097561
1995,NM,33.33333333333333
1995,NV,-38.46153846153847
1995,NY,15.15587529976019
1995,OH,9.59232613908873
1995,OK,52.94117647058824
1995,OR,-8.21917808219178
1995,PA,11.08910891089109
